Area;Categoria;Item;Unidad de medida;Cantidad
Bombas;Agua Potable;Bomba STAIRS SBI 15-8 de 10Hp red baja (Equivalente a KSB Movitec VF 15/8B de 10Hp);UN;1
Bombas;Agua Potable;Bomba STAIRS SBI 32-8 de 20Hp red alta (Equivalente a KSB Movitec VF 25/08 de 20Hp);UN;1
Bombas;Agua Potable;Bomba PEDROLLO VX 15/50 de 1,5 Hp pozo sentina;UN;1
Bombas;Agua Potable;Válvula Solenoide RAPHAEL RAF02312 bridada de 2”;UN;1
Bombas;Agua Potable;Válvula Solenoide RAPHAEL RAF03312EP bridada de 3”;UN;1
Bombas;Agua Potable;Llaves Peet 3”;UN;2
Bombas;Agua Potable;Llaves Peet 2”;UN;2
Bombas;Agua Potable;Válvula de retención 2”;UN;2
Bombas;Agua Potable;Válvula de retención 2.1/2”;UN;2
Bombas;Agua Potable;Llaves de bola 2”;UN;4
Bombas;Agua Potable;Llaves de bola 2.1/2”;UN;2
Bombas;Agua Potable;Hilos Tuerca Bronce 2”;UN;2
Bombas;Agua Potable;Hilos Tuerca Bronce 2.1/2”;UN;2
Bombas;Agua Potable;Junta de dilatación 2”;UN;1
Bombas;Agua Potable;Junta de dilatación 2.1/2”;UN;1
Bombas;Agua Potable;Llaves Tayson compuerta 4”;UN;2
Bombas;Agua Potable;Presostatos DANFOSS KPI 4-12 bar;UN;2
Bombas;Agua Potable;Interruptores de nivel MAC3 5mts;UN;2
Bombas;Agua Potable;Coplas PPR 25 mm;UN;5
Bombas;Agua Potable;Coplas PPR 32 mm;UN;5
Bombas;Agua Potable;Coplas PPR 40 mm;UN;5
Bombas;Agua Potable;Coplas PPR 50 mm;UN;5
Bombas;Agua Potable;Coplas PPR 63 mm;UN;5
Bombas;Agua Potable;Coplas PPR 75 mm;UN;5
Bombas;Agua Potable;Coplas PPR 90 mm;UN;5
Bombas;Agua Potable;Codos PPR 25 mm;UN;5
Bombas;Agua Potable;Codos PPR 32 mm;UN;5
Bombas;Agua Potable;Codos PPR 40 mm;UN;5
Bombas;Agua Potable;Codos PPR 50 mm;UN;5
Bombas;Agua Potable;Codos PPR 63 mm;UN;5
Bombas;Agua Potable;Codos PPR 75 mm;UN;5
Bombas;Agua Potable;Codos PPR 90 mm;UN;5
Bombas;Agua Potable;Terminales PVC 63 mm;UN;2
Bombas;Agua Potable;Coplas PVC 63 mm;UN;2
Bombas;Sentina;Sentina;UN;1
Bombas;Aguas Negras;Aguas negras;UN;1
